timestamp,team,score
2025-09-11 07:15:18,Charlies shortbus ,0.0
2025-09-14 22:30:59,2,Empty Hook Matt,127.94,Florida Gator Tails,118.4
2025-09-14 22:41:08,2,Charlies shortbus ,41.68,Big Booty Completions,81.9
2025-09-14 22:41:08,2,Blue collar men,75.9,Millimeter Peter,89.0
2025-09-14 22:41:08,2,Jackson Was Manipulated ,100.28,Tongue Dart,100.92
2025-09-14 22:41:08,2,Nick's Daddy,95.3,"""Money Mac"" 💰",62.88
2025-09-14 22:41:08,2,Empty Hook Matt,141.04,Florida Gator Tails,118.4
2025-09-14 22:41:25,2,Charlies shortbus ,41.68,Big Booty Completions,81.9
2025-09-14 22:41:25,2,Blue collar men,75.9,Millimeter Peter,89.0
2025-09-14 22:41:25,2,Jackson Was Manipulated ,100.28,Tongue Dart,100.92
2025-09-14 22:41:25,2,Nick's Daddy,95.3,"""Money Mac"" 💰",62.88
2025-09-14 22:41:25,2,Empty Hook Matt,141.04,Florida Gator Tails,118.4
2025-09-14 22:49:41,2,Charlies shortbus ,48.9,Big Booty Completions,81.9
2025-09-14 22:49:41,2,Blue collar men,75.9,Millimeter Peter,89.0
2025-09-14 22:49:41,2,Jackson Was Manipulated ,100.28,Tongue Dart,102.12
2025-09-14 22:49:41,2,Nick's Daddy,95.3,"""Money Mac"" 💰",63.28
2025-09-14 22:49:41,2,Empty Hook Matt,141.04,Florida Gator Tails,118.4
2025-09-14 22:49:58,2,Charlies shortbus ,48.9,Big Booty Completions,81.9
2025-09-14 22:49:58,2,Blue collar men,75.9,Millimeter Peter,89.0
2025-09-14 22:49:58,2,Jackson Was Manipulated ,100.28,Tongue Dart,102.12
2025-09-14 22:49:58,2,Nick's Daddy,95.3,"""Money Mac"" 💰",63.28
2025-09-14 22:49:58,2,Empty Hook Matt,141.04,Florida Gator Tails,118.4
2025-09-14 23:26:15,2,Charlies shortbus ,49.24,Big Booty Completions,78.9
2025-09-14 23:26:15,2,Blue collar men,75.9,Millimeter Peter,88.8
2025-09-14 23:26:15,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-14 23:26:15,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-14 23:26:15,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-14 23:26:31,2,Charlies shortbus ,49.24,Big Booty Completions,78.9
2025-09-14 23:26:31,2,Blue collar men,75.9,Millimeter Peter,88.8
2025-09-14 23:26:31,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-14 23:26:31,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-14 23:26:31,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-14 23:39:56,2,Charlies shortbus ,49.24,Big Booty Completions,78.9
2025-09-14 23:39:56,2,Blue collar men,75.9,Millimeter Peter,88.8
2025-09-14 23:39:56,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-14 23:39:56,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-14 23:39:56,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-14 23:40:13,2,Charlies shortbus ,49.24,Big Booty Completions,78.9
2025-09-14 23:40:13,2,Blue collar men,75.9,Millimeter Peter,88.8
2025-09-14 23:40:13,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-14 23:40:13,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-14 23:40:13,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-14 23:49:47,2,Charlies shortbus ,49.24,Big Booty Completions,78.9
2025-09-14 23:49:47,2,Blue collar men,75.9,Millimeter Peter,88.8
2025-09-14 23:49:47,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-14 23:49:47,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-14 23:49:47,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-14 23:50:04,2,Charlies shortbus ,49.24,Big Booty Completions,78.9
2025-09-14 23:50:04,2,Blue collar men,75.9,Millimeter Peter,88.8
2025-09-14 23:50:04,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-14 23:50:04,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-14 23:50:04,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 03:18:58,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 03:18:58,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 03:18:58,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 03:18:58,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 03:18:58,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 03:19:15,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 03:19:15,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 03:19:15,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 03:19:15,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 03:19:15,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 03:57:32,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 03:57:32,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 03:57:32,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 03:57:32,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 03:57:32,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 03:57:49,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 03:57:49,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 03:57:49,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 03:57:49,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 03:57:49,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 04:41:25,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 04:41:25,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 04:41:25,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 04:41:25,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 04:41:25,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 04:41:42,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 04:41:42,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 04:41:42,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 04:41:42,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 04:41:42,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 04:51:24,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 04:51:24,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 04:51:24,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 04:51:24,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 04:51:24,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-15 04:51:41,2,Charlies shortbus ,63.84,Big Booty Completions,78.9
2025-09-15 04:51:41,2,Blue collar men,95.9,Millimeter Peter,93.2
2025-09-15 04:51:41,2,Jackson Was Manipulated ,100.28,Tongue Dart,107.52
2025-09-15 04:51:41,2,Nick's Daddy,96.3,"""Money Mac"" 💰",70.38
2025-09-15 04:51:41,2,Empty Hook Matt,140.34,Florida Gator Tails,118.4
2025-09-16 03:05:46,2,Charlies shortbus ,74.64,Big Booty Completions,98.8
2025-09-16 03:05:46,2,Blue collar men,111.0,Millimeter Peter,93.2
2025-09-16 03:05:46,2,Jackson Was Manipulated ,112.18,Tongue Dart,107.52
2025-09-16 03:05:46,2,Nick's Daddy,113.0,"""Money Mac"" 💰",76.08
2025-09-16 03:05:46,2,Empty Hook Matt,140.34,Florida Gator Tails,131.1
2025-09-16 03:06:03,2,Charlies shortbus ,74.64,Big Booty Completions,98.8
2025-09-16 03:06:03,2,Blue collar men,111.0,Millimeter Peter,93.2
2025-09-16 03:06:03,2,Jackson Was Manipulated ,112.18,Tongue Dart,107.52
2025-09-16 03:06:03,2,Nick's Daddy,113.0,"""Money Mac"" 💰",76.08
2025-09-16 03:06:03,2,Empty Hook Matt,140.34,Florida Gator Tails,131.1
2025-09-16 03:47:42,2,Charlies shortbus ,77.24,Big Booty Completions,98.8
2025-09-16 03:47:42,2,Blue collar men,111.0,Millimeter Peter,93.2
2025-09-16 03:47:42,2,Jackson Was Manipulated ,112.18,Tongue Dart,107.52
2025-09-16 03:47:42,2,Nick's Daddy,121.64,"""Money Mac"" 💰",78.48
2025-09-16 03:47:42,2,Empty Hook Matt,140.34,Florida Gator Tails,131.1
2025-09-16 03:47:59,2,Charlies shortbus ,78.64,Big Booty Completions,98.8
2025-09-16 03:47:59,2,Blue collar men,111.0,Millimeter Peter,93.2
2025-09-16 03:47:59,2,Jackson Was Manipulated ,112.18,Tongue Dart,107.52
2025-09-16 03:47:59,2,Nick's Daddy,122.0,"""Money Mac"" 💰",78.48
2025-09-16 03:47:59,2,Empty Hook Matt,140.34,Florida Gator Tails,131.1
